,Faallo,Sun ah,Fuxshi,Goodis,Caay,Sinji-nacayb,Aan sun aheyn
,Waa dad isla socday oo isyaqano lkn khilaf wayn soo kaladhexgaly siday umuuqato,1,0,0,0,0,0
,"Laba qof oo wada socday lkn hishiin waayay baan arkaa ,wax aan kadhii dhinayo maahan waxa soogaaray waayo haday kheyr Khabto thy saacaan magaalka mawareegteen. Waana wax lafaliyo in gbr saacaan wareeegaysa soogaarayaan intaan iyo kabadanba.",1,0,0,0,0,0
,Qaabka Ay Isku Tuurtay Ayaaba Qaab Kibir Camal Ah Ama Qof Edeb Daran Qaabka Uu Isku Tuuro Oo Kale Ama Cunug Is Fiilidto Qaba Oo Wax Laga Dafay Camal Waa Fantaastic Wallaahi,1,0,0,0,0,0
,Dadka Labadi Gobayo Mogadishu sidan Ayey Ku Maqan Yahiin waa Dhibto Jirta Cidan Gaar Ah Iyo Masuliyad La iskama Saro Dalka waxa Ka dhacaya Ee Ka Si Halis Badan qaraxa Iyo Dilka Kumaana Aya sand walba Lagu waya Magalda,1,0,0,0,0,0
,Eeg Halka Uu Uga Dhuftay Dhar Baax Yada Waa Daanka,1,0,0,0,0,0
,Arinkan ana sameeyay Prank iga xumaaday ehayd icafiya soomaalaay,1,0,0,0,0,0
,Cirbad iyo jug miyaa isku mid maku indho sarcaadisay,1,0,0,0,0,0
,Hurta aniga ahaan kuwa marqaati noqday dhamantood . Qof la amini Karo Maku jiro,1,0,0,0,0,0
,qof bal wad leh maba aamini karo ani alle ayaa marqaati badane,1,0,0,0,0,0
,Maxkamadii oo dhan wuxuu ku dhameeyey masha allah iyo Insha allah.,1,0,0,0,0,0
,"Waxaad ka damacsantihiin maad iska sheegtiin, wixii mar labaad lasoo celiye waxbaa kujire, anaga shaxda waa fahansanahaye.",1,0,0,0,0,0
,"Aakhira waa jirtaa masha allah
walle 2024 wax waa aragnay",1,0,0,0,0,0
,Xarifkan wa hurdo badano Deen ah balagu leyhay,1,0,0,0,0,0
,"Qaadku markii uu kugu bargo,o dhibkan bay ledahy",1,0,0,0,0,0
,Msha allah insha allh iyo sax,0,0,0,0,0,1
,Yarka ka dameeya qosol bu isku celinya,1,0,0,0,0,0
,Aaaakhirna waa jirta mansha alh,0,0,0,0,0,1
,Geesi guuleyso,0,0,0,0,0,1
,Akhira jirta layiri kulahaa masha allah,0,0,0,0,0,1
,Aaqirana waajirtaa .,0,0,0,0,0,1
,Masha allh,0,0,0,0,0,1
,shamuurey legend rer tabaakayo madow guuleyso sxp,0,0,0,0,0,1
,Qaad ayuu kasoo dhergay waay Soo qabteen,1,0,0,0,0,0
,Wax kalina ana soo qabaneen kulahaa gaarigi ayaa bananka u yaaalo,1,0,0,0,0,0
,Maasha Allah,0,0,0,0,0,1
,Maa shaa allaah in shaa allaah sax haah ma sheegi karo nin naagtiisa waxay sameenaayeen yaa yaqaano,1,0,0,0,0,0
,Shamuuri masha allha iyo inasha allha bu oga baxaya wale,0,0,0,0,0,1
,Shamuuri asaga oo kale ayuu dalkeena u baahan yahay,0,0,0,0,0,1
,Shamuri waba balo masha allah kulaha,1,0,0,0,0,0
,Wlhi waa iga Qosliyay kulaha Mnsha alllah,0,0,0,0,0,1
,Somalidu waa imtixaan Mnsh allh iyo insh allh miyey wax kasoo dhex saareen,1,0,0,0,0,0
,Masha allah,0,0,0,0,0,1
,Waa saraanyahay ninkanu,1,0,0,0,0,0
,Mansha Allah,0,0,0,0,0,1
,Baaquli Boy maxaa ugalay,1,0,0,0,0,0
,Wlahi si nin weyn buu u hadley,0,0,0,0,0,1
,Garsoorka ; wax ma aragtey,1,0,0,0,0,0
,Shamuurey: manshallah,0,0,0,0,0,1
,Masha alaah,0,0,0,0,0,1
,Waxkale aan soqabaneyn kulahaa wabargo xarifkaan,0,0,0,0,0,0
,kani funy waaye waxkale na anan qabaneyn kulaha,1,0,0,0,0,0
,Shamuuri wa geesi geesi dhalay,0,0,0,0,0,1
,Aakhirana Waa jirtaa masha Allah kulahaa,0,0,0,0,0,1
,Marqaatigaan jiritaanka aakhiro masha allaahda u qaatay hala soo badalo,1,0,0,0,0,0
,Sidu isku dhiirinaayo igu daran wax walba,1,0,0,0,0,0
,masha alllah,0,0,0,0,0,1
,insha allh,0,0,0,0,0,1
,Shamuuri wuu cabsanyahay,1,0,0,0,0,0
,Wax waliba mash alaah uga baxay kan,0,0,0,0,0,1
,Masha allah,0,0,0,0,0,1
,Marqaatiyal wada cabtooy ah oo been kitaabka quraanka ku dhaartay isla markiina fashilmay maragii beenta aheyd,1,0,0,1,0,0
,Ilaahay wuxuu igu ogyahay iyo rasuulka kuma lahan war ilaahay bes ayaa ku og ee runta sheeg,0,0,0,0,0,0
,Waxkale an so qawanenin aa hhh shamuuri,1,0,0,0,0,0
,Aaqirane we jirta masha allh,0,0,0,0,0,1
,Xaqa alaa og lkn dadka kuwaan marqaatiga ukeensaday ayaanba layaabay miseysan kafakarin waxaa latagaa maxkamada horteedoo waxwalba waxaa qiimeyn kusameynee xitaa qaabka hadalka. Mida kale waaba dad wada xawilan sey marqaati kunoqonayaan yaab,1,0,0,0,0,0
,Marqaatigii oo xooga ka dhacsan wye,1,0,0,0,0,0
,Qofka kastoo fariintaydan soo gaarto ilaahay cimri dheer iyo cibaado suuban ban uga baryaya,0,0,0,0,0,1
,"Mashallh kulaha
akhirana way jirta kulaha",0,0,0,0,0,1
,Shamuuri waa nin adag oo kalmad khar leh adeegsada masha alllah,0,0,0,0,0,1
,Ninka maadeysiga & View raadinta ka daaya.,1,0,0,0,0,0
,Marqankii uu Xadir ah,1,0,0,0,0,0
,Wa runtiis insha allah alle waxu dona dhacaya waaye,0,0,0,0,0,0
,Kan maa dhaarsanaysaan,1,0,0,0,0,0
,Wllhi wanalagu dhel dhlaya anagana wan iska dawaneyna ilahow cadalad ada og noso fudude,1,0,0,0,0,0
,Allaha xaqa bidhaamiyo,0,0,0,0,0,1
,Aaqirana Waa jirtaa aa ladhahay kulahaa maasha allaah,0,0,0,0,0,1
,Shamuuri waa geesi illahay khair hasiiyo kaliya waxa uu arkay ayuu sheegay runtuna rappi ayaa ku jecel allah xafido,0,0,0,0,0,1
,Akhirona wa jiro mansha allah,0,0,0,0,0,1
,Nio wax kale hanagu soo qaban kan waa ka shakiyay markale yaa la keenin inuu dhaho anaa gubay ayaa ka baqaa,1,0,0,0,0,0
,Kani waa funny wlhi wax kle na aan so qabaneyn kulhaa,1,0,0,0,0,0
,Ugu yaraan kan meeqo power ah ku maqan isleedahay,1,0,0,0,0,0
,Saan aan ufiirinaayay,0,0,0,0,0,1
,Aaqiro waa jirtaa maasha allh,0,0,0,0,0,1
,Mr. Masha allah.,0,0,0,0,0,1
,Mr masha allh,0,0,0,0,0,1
,Masha allha,0,0,0,0,0,1
,"Shamuri marxumada in aad bad baadiso ma,isku dayday Allahey ka alle",0,0,0,0,0,1
,MaashaAllah io inshallah u warka dhan kuso koobay,0,0,0,0,0,1
,Waxkale aan sheegen,0,0,0,0,0,1
,Waxkale aan soo qabanen,0,0,0,0,0,1
,Masha Allah,0,0,0,0,0,1
,Xaakimka,0,0,0,0,0,1
,Wax kalena aan soo sheegey,0,0,0,0,0,1
,Mansha-allah!,0,0,0,0,0,1
,Ninkaan waa ciilanyahey .waa asxaabtii sheegoow filaa ee halasoobaaro,1,0,0,1,1,0
,Kan waa marqaan san yahay maskaxdiisa ma fadhiso,1,0,0,1,0,0
,Shamuuriyow see wax yeeshay,0,0,0,0,0,1
,Mashallah.,0,0,0,0,0,1
,Maasha Allah,0,0,0,0,0,1
,Inaan wax kale soo qabaneyn BL miaow soo xasuustay shamuureey,0,0,0,0,0,1
,Markhanit masha alah,0,0,0,0,0,1
,Nasiib ayuu lee yahay haduu dhihin shuute sxb qofta anaa dilay ee tiirka xaguu ku yaala nio yaa soo qaldy m.a,1,0,0,0,0,0
,Aakhirana waa jirta m.a aaa,0,0,0,0,0,1
,Intii dhimatay allah ka koriyo kulahaa kkkkkk,0,0,0,0,0,1
,"Aakhirana waa jirtaa, masha allah",0,0,0,0,0,1
,waxkale anan soqabaneen,0,0,0,0,0,1
,Akhirana waa jirtaa masha allah ,0,0,0,0,0,1
,Ninka ugu caansan Darwal Pl ah dagmada dharkenley shamuurey qof aan aqoon oo reer dharkenley ma jiro lol,0,0,0,0,0,1
,kkkkkkkkkk,0,0,0,0,0,1
,Shamuuriyow wax kale hasoo qaban sxpow,0,0,0,0,0,1
,Aakhirana waa jirtaa mashallah,0,0,0,0,0,1
,Waxan ahay wariye Sports oo madax banaan kawarama ciyaaraha soodhiga goolasha storyga saxafadu kama Helin cadaalad,0,0,0,0,0,1
,Aakhirana waajirtaa,0,0,0,0,0,1
,Masha allh,0,0,0,0,0,1
,Shamuuri kistooo cabsi ayu daremaya kawrn,0,0,0,0,0,1
,Rasulka ila ogyahy kulaha wr wuxu Ben badnaa,1,0,0,1,0,0
,Masha allah shamuuri miyaaa ninkaan,0,0,0,0,0,1
,Shamuuri Yaa Balamiyay,0,0,0,0,0,1
,Inshlllh iyo mnshllh sxpow dhulka la jartaye see camal,0,0,0,0,0,1
,Marqaatiga waaba la dhaariye waxa aad soo qoreysaan maxaa waaye,0,0,0,0,0,1
,Shamuri waba imtixaan masha allah kulaha,1,0,0,0,0,0
,Ninkaan caadi mahan,0,0,0,0,0,1
,Reer xamarku dadka xitaa ka dhacsan waxay ka dhiganayaan markhaatiyaal.,1,0,0,1,1,0
,Sax masha allah,0,0,0,0,0,1
,Shumaari kulahaa wax kale anab so qabaney,0,0,0,0,0,1
,Masha allh nikaah wa hadal cad cad yahay,0,0,0,0,0,1
,Amina,0,0,0,0,0,1
,Ninkan aniga wax ma ka fahmin u kala had hadla,0,0,0,0,0,1
,Wax walba oo dhacaayey waa fiirsanaayey micnaha waan fadhiyey oo inaan fadhiga ka kaco baan dhibsaanayey muu iska dhaho,1,0,0,0,0,1
,"Saasan u firsanayay kulaha
musasal ma mesha ka shidan",0,0,0,0,0,1
,Nin Rageed weye Shamuuri Mar walpa waxu iska iLaalinaya hadaL in lagu gaado,0,0,0,0,0,1
,Allahey ka alle,0,0,0,0,0,1
,"Aakhirona waa jirtaa, masha allaah kulahaaa",0,0,0,0,0,1
,Mashlh inshlh SaaS Ayuba caan ku noqday,0,0,0,0,0,1
,Ninkaan waa la aamusiiyay mooyee wax badan wuu sheegi lahaaa,1,0,0,0,0,0
,Inaa wax kale aan soo qabaneynin,0,0,0,0,0,1
,gaariga ku qayileenay ani io afar kale,0,0,0,0,0,1
,Sax masha allaaah shamuuri gudoomiyihii maxkamada ayuuba cariiri geliyey dhulkoo ku soo yareeyey,0,0,0,0,0,1
,Insha allah iyo masha allah uu marqati uga dhagay inay iso racan wadiiden kulaha xagee lo socda,0,0,0,0,0,1
,"kani funy waaye waxkale meshegyo Mashlh iyo ishanlh ayuu ku garcay maxkamda cadlada ha shaqyso
nikaan wa legend 1m Titok iyo facbook 1m laCaag badan ayuu u qalma somliyey u gaca nika maskinka",0,0,0,0,0,1
,Shamuuri aaqirane waa jirta masha allh,0,0,0,0,0,1
,hada muxuu sheegay hal xabo kama fahmin shamuureey,1,0,0,0,0,0
,shamuuri waa legend kkkk,0,0,0,0,0,1
,Mashallah allah illahye haku hiliyo wllo,0,0,0,0,0,1
,Abdiaziiz Hassan masha Allah iyo insha allah jawaab cusub,0,0,0,0,0,1
,Khadar Maxamed Ninkan Shumuri wllkii waaye,0,0,0,0,0,1
,Aakhira waa jirtaa masha allah,0,0,0,0,0,1
,Meeshaas marqaatiyaal iyo qiraalba lama haayee xaal iyo xaajo Alle ha toosiyo,0,0,0,0,0,1
,M.a,0,0,0,0,0,1
,Garsooraha: wax ma aragtay,0,0,0,0,0,1
,Shamuuri: mashallah,0,0,0,0,0,1
,Inshaaa Allah,0,0,0,0,0,1
,Aakhira waa jirta. Kuye maasha Allah hhhhhhhh,0,0,0,0,0,1
,Hadda mxu sheeegay,1,0,0,0,0,0
,Masha allah kulahaaa legend,0,0,0,0,0,1
,Naima Abdullahi Moalim mashlah,0,0,0,0,0,1
,"Wuxuu ilaahey igu ogyahay iyo Rasuulkiisa kulahaa, Rasuulka ma ogo Soomaalida kalmadaas inta badan waa isticmaalaan.",1,0,0,0,1,0
,Meesha ku qayilaynay oo cad,0,0,0,0,0,1
,Masha Allah shamuure xaqiiqda Buu ka hadlay,0,0,0,0,0,1
,Shamuurey See wax yeeshay Wax kalana Aan so qabaneenin kulaha,0,0,0,0,0,1
,Insha Allah,0,0,0,0,0,1
,"Kista yar oo idaacadda Risaala uu dhahaayo , ma iska jarteen oo maxay idiin dhibtaa oo aad rafaadkaas isku marsiiseen",1,0,0,0,0,0
,"Insha Allah, masha Allah",0,0,0,0,0,1
,Masha Allh,0,0,0,0,0,1
,Shamuuri shaly wuu iga yaabiyey wlhi sifcn uhadly,0,0,0,0,0,1
,Waxkalena aan soo qabaneeynin kulahaa.,0,0,0,0,0,1
,Aqarana waa jirtaa masha Allah kulaha,0,0,0,0,0,1
,Mr m.A,0,0,0,0,1,1
,Mansha allaah,0,0,0,0,0,1
,Waa nin imaanleh weye,0,0,0,0,0,1
,Ninkan maxkamadii jawi buu usameeyay,0,0,0,0,0,1
,"Aakhiro way jirtaa masha allah kulaha
legend waaa",0,0,0,0,0,1
,Wax klena Aan soo qabaneenin,0,0,0,0,0,1
,Wax kalana aanan sooqabaneyn,0,0,0,0,1,1
,Waxkale aanan soo qabanaynin hakalkaas waaa gadmy,0,0,0,0,0,1
,Aakhiro way jirtaH mansha allH,0,0,0,0,0,1
,Insha allah,0,0,0,0,0,1
,"Aakhira waa jirtaa masha allah
walle 2024 wax waa aragnay",0,0,0,0,0,1
,Masha allah.,0,0,0,0,0,1
,Muxuu sheegay hada hhh,1,0,0,0,0,0
,Mnshalllah maxaytahay,1,0,0,0,0,0
,Aaqirane waa jirtaa mashaa allah,0,0,0,0,0,1
,Reer xamar dooragada caanka ah kookinta ayay cabaan mar walba samada ayay ku jiraan,1,0,0,1,1,0
,Wada cabtooy,1,0,0,1,0,0
,Waxaan aa Marqaati Laga dhigaaa AR Aduunaaa.,1,0,0,0,0,0
,Wax kale aan soo qabaneynin,0,0,0,0,0,1
,Marqaatiyal wada cabtooy ah oo been kitaabka quraanka ku dhaartay isla markiina fashilmay maragii beenta aheyd,1,0,1,1,0,0
,Wax kale an soo qabaneenin,0,0,0,0,0,1
,Shamuuri wa legend wa layaqana ninkan rer dabakayo madow.,0,0,0,0,0,1
,Masha Allah,0,0,0,0,0,1
,Masha allah,0,0,0,0,0,1
,Shamuuri wuu dadaaley,0,0,0,0,0,1
,"Ninkaan qeybta hore wuu fiicanyahay. Waxaan filaa, ballan lala soo galay in uu soo xusuustay oo is dabaaliyay",1,0,0,0,0,0
,Hayaaay,1,0,0,0,0,1
,Aakhirada wa jirtaa,0,0,0,0,0,1
,Asaga =Masha Allah,0,0,0,0,0,1
,shamuuri masha allaah,0,0,0,0,0,1
,Shumuri cabtooy ah,1,0,1,1,0,0
,Dhibadan somalidn wx klena an so qabaneynin,1,0,0,0,1,1
,Wax kale aanan soo qabaneyn,0,0,0,0,0,1
,Wax kalane so qabanayn,0,0,0,0,0,1
,Shamuuri Nin adag waayeh Ninka Raga ah waxa lagu Yaqaan in uu ka Run sheego wixi xaqa uu arkay,0,0,0,0,0,1
,Garsoorka : wax ma aragtay,0,0,0,0,0,1
,shamuuri : Mashallah,0,0,0,0,0,1
,wax kale aan so qabanyo kulahaa,0,0,0,0,0,1
,Abdikariim Hassan Mohamud msha Allh dhagyso,0,0,0,0,0,1
,Haye Waxkale Aadan Soo Qabanaynin,0,0,0,0,0,1
,Aakhiro neh waa jirtaa jawaabta Masha Allah,0,0,0,0,0,1
,Mnshallh,0,0,0,0,0,1
,Wax klena Aan soo Qabaneynin,0,0,0,0,0,1
,Msha allh,0,0,0,0,0,1
,Xaqa sheeg buu leyahay isaga goaanka lahaa ba cadaaalad darro waddo aaqiro way jirtaa buu hadane kuleyahay aduunyoy mxaa yaab isdaba yaalo,1,0,0,0,0,0
,Shamuri aaqiro ayaa jirta m.a,0,0,0,0,0,1
,Waxkake aanan soo qabanaynin hadalkaas waaa gadmay,0,0,0,0,0,1
,Waxn kalena Aan soo qabaneyn masha Allh.,0,0,0,0,0,1
,Halkee degen tahy insha Allh,0,0,0,0,0,1
,Asaba ka rayay maxkamada m.a i.a warka ugu soo kobay legend shamuuri,0,0,0,0,0,1
,masha alh,0,0,0,0,0,1
,"Hhhh Shabelle TV
bosteejada d.madow",0,0,0,0,0,1
,Lagama waayo wa dhaqan waligii ka muuqda,0,0,0,0,0,1
,2ba meeere hotelka 7 star lagama waayo ninkan wa dhaqan lagu yaqaan hhhh,0,0,0,0,0,1
,Sax masha allah,0,0,0,0,0,1
,Ninkan Nanac malab iyo energy isku qastay,1,0,0,0,0,0
,Masha allaah Cabdiqani Cali Afrax,0,0,0,0,0,1
,Wixi alle la ogaay uun biushegay mashaallah,0,0,0,0,0,1
,Aakhirana way jirtaaa,0,0,0,0,0,1
,Mashllh,0,0,0,0,0,1
,Ninkaan lacatiisa waa qaatay kitaabna waa isku jiiday,0,0,0,0,0,1
,Garsoore. Guriga maxa ka dhacay ?,0,0,0,0,0,1
,Shamuuri . Mashallah,0,0,0,0,0,1
,Wax kaleNa aan soo qabanayn,0,0,0,0,0,1
,Guriga gubanaya ma damisay allahy ka alle Wax gargaar ah ma fidisy may shamuury cajiib,0,0,0,0,0,1
,Abdirahman Salaad Omar shamuiri 37 jir ah,0,0,0,0,0,1
,Rasulku ila igyahay waa qalad seey ilatahay aniga lkn sida eebe weeyne ila ogyahay waa dhihi karaa qofku,1,0,0,0,0,0
,Msha Allah insha Allah 2024 Tariikh,0,0,0,0,0,1
,Waxkalana aana so qabanyn kkk,0,0,0,0,0,1
,Waxkale aan soo qabaneynin,0,0,0,0,0,1
,Mr insha Allah shamuuri nin caadi ah ama ahan Abdifatah Ali Nur,0,0,0,0,0,1
,Rabi haynaga dhigo dadka maalinta khiyaame jannada lagu casuumo aamiin aamiin,0,0,0,0,0,1
,Masha allah kulaha,0,0,0,0,0,1
,Mash allh,0,0,0,0,0,1
,Xaqa ayuu kahadlay shamuuri,0,0,0,0,0,1
,"Aakhira waa jirtaa masha allah
walle 2024 wax waa aragnay",0,0,0,0,0,1
,Wax Kalena aanan soo qabaneynin,0,0,0,0,0,1
,Masha allah kulaha,0,0,0,0,0,1
,Maxkamada iyo Shamuuri.,0,0,0,0,0,1
,Waxkalena aana soo qabaneen kulahaa lagen waaye Kan hhh,0,0,0,0,0,1
,Hhhh walhi funny waye wax kale Anand qabaneyn kulahaa,0,0,0,0,0,1
,Aakhiro way jirtaa masha allah kulaha,0,0,0,0,0,1
,Waxa uusan soo qabaneyn maxay yihiin,0,0,0,0,0,1
,dadka marqaariga lookeenay waxaa qof sax ah ka ahaaa gabadha iyaduna mar qaati manoqon karto hadaan gabar kale lahelin,0,0,0,0,0,1
,Wax kalana aaan soo qabanayno,0,0,0,0,0,1
,Afkiisa hadal xun uma baran,0,0,0,0,0,1
,inshallh mashallh,0,0,0,0,0,1
,inshallh manallh,0,0,0,0,0,1
,Aan sheegeynin aan soo qabaneynin hal lee moho,0,0,0,0,0,1
,Mr msha allh insha allh sax erydiisi,0,0,0,0,0,1
,Wax kalanee aan sooqa baneen hhh,0,0,0,0,0,1
,Maasha alh badanaa kan,0,0,0,0,0,1
,Garsooraha Shamuuri Marxuumadda in aad bad-baadiso ma isku dayday? Shamuuri Allahay ka Alle,0,0,0,0,0,1
,Mesha flmba ka socdo,0,0,0,0,0,1
,Shamuuri m.ashalhh,0,0,0,0,0,1
,Waxkale aan soo qabaneenin,0,0,0,0,0,1
,Maxkamadii fanproj ayy isku badashay insha allah,1,0,0,0,0,0
,"Geesi banaankiisa ku dhacay, Masha Allah",0,0,0,0,0,1
,Marqankii oo dad ah marqati ahaan lo keenay maxkamada,1,0,0,0,0,0
,Aakhiran way jirda maash allah kulah dadk markhatig lag dhigty waab dad an waxab ogayn rer koonfurt 40 jir ayey ku qangadhan ayan maqli jiray 3 sano ka dib ayuu qan gadhay wiilkani 37 jir weeye had,1,0,0,0,0,0
,Waa cabtooy,1,0,0,1,0,0
,Wax kalana aan so qabaneynin,0,0,0,0,0,1
,Ninkaan hada muxuu sheegay,1,0,0,0,0,0
,Kan majaajiliste waaa,0,0,0,0,0,1
,Kulaha wax kalena aanan so qabanayn hhhh,0,0,0,0,0,0
,Hhhhh akhiro wajirta mashaallh hayeh,0,0,0,0,0,0
,Aaqirana wa jirtaa masha allh,0,0,0,0,0,0
,Langed waye mnshalh ugu dhameyay,0,0,0,0,0,0
,"Xeer ilaaliyaha
meeshan maxkamad waye idaacad ma ahn",0,0,0,0,0,0
,"Shamurey
insha Allah",0,0,0,0,0,0
,Allah,0,0,0,0,0,0
,Wax kalena aan soo qabanaynin miyuu dhahay,0,0,0,0,0,0
,Akhirana wa jirta:Masha allh,0,0,0,0,0,0
,Shabeelle tv page maa isku badasheen,0,0,0,0,0,0
,Aaqirana wey jirtaa masha allha,0,0,0,0,0,0
,Ka dhacsanow every day offline ahaw,0,0,0,0,0,0
,Istaqfurlaha,0,0,0,0,0,0
,"Aakhirana wa jirta Masha’allah kulaha
Shamuuri wa geesi geesi dhalay
a",0,0,0,0,0,0
,Legend wye hhh,0,0,0,0,0,0
,Kan maxkamadu warkiisa hakafiirsato waa sikhraane,0,0,0,0,0,0
,"Waalagu dhaarinaa ladhahay mash,allah kulahaa",0,0,0,0,0,0
,"Masha Allah Malmahan Wa ilaway Kana iga qatay Midha
Ilyaas",0,0,0,0,0,0
,Shamuri is not easy,0,0,0,0,0,0
,Rag soo wada geeda geedeestay waaye kuligooda wexeee marqaati ahaan u keeneen,0,0,0,0,0,0
,Godomiyaha: waxaad aragtay oo run ah in aad sheegtaaa la ga rabaa,0,0,0,0,0,0
,Shamuuri: insha allah,0,0,0,0,0,0
,God: Aaqirane waa jirtaa ogoow … See more,0,0,0,0,0,0
,Legend wye hhhhhhhhhh,0,0,0,0,0,0
,Shamuuri masha alah uga bxy wrk,0,0,0,0,0,0
,Gudoomiyeha = waxaa lagaa rabaa inaad maxkamada runta ka shegto,0,0,0,0,0,0
,Shamuuri = man sh alh,0,0,0,0,0,0
,Gudoomiyeha = waxaad taagantahay maxkamad… See more,0,0,0,0,0,0
,Wxkle anso Qabanen,0,0,0,0,0,0
,Marqatiyasha habargadir maa soo diyar satay hhh,0,0,0,0,0,0
,Shamuuri waa geesi wallahi runti masha ALLAH,0,0,0,0,0,0
,Ninkan markaan arko mid sxbkey igu soo dhici,0,0,0,0,0,0
,Ninkaan wax badan ayuu soo qaban lahaa maxaa loo aamusiyay,0,0,0,0,0,0
,Khadar Dhamme fanan ayaa la odhan jiray shamuuri,0,0,0,0,0,0
,Garsooraha: idaacad ma joogtid,0,0,0,0,0,0
,"Shamuuni:India,allah",0,0,0,0,0,0
,Mona Pazhe Adem aakhirana way jirtaa masha allah kulahaa,0,0,0,0,0,0
,Sax masha allaaha nin legend wye cabsi aqon,0,0,0,0,0,0
,Kusoobiir pagekena Mahadsanidiin dhamaantiina aankusalino nabiga sallallaahu calayhi wasallam siaad uxesho shafecadiisa maalinta qiyaamaha wllo,0,0,0,0,0,0
,Shamuuri is not easy,0,0,0,0,0,0
,Hadoona dhihin anaa gabadha gubay alxm waaye,0,0,0,0,0,0
,Muniŕ DE Golden Bouwy legend kaan xaafdeena caaan buu ka ahaa hdana meel kasta laga bartey waa wadanaa ree dharkaynly hdan nhy,0,0,0,0,0,0
,Axmed Xassan,0,0,0,0,0,0
,Kabtan Ali shamuuri kuwacayo,0,0,0,0,0,0
,Aakhirana waa jirtaa masha allah,0,0,0,0,0,0
,Wax kale neh aana soo qabanen,0,0,0,0,0,0
,Garsooraha:gabadha wax maka badbadisay Shamuuri :kulahaa Allehey Allah,0,0,0,0,0,0
,Kuwa marqaati ahaan ukensaday kuwan ma oga miyaa in sameyn uu ku yelan karo difacooda madama hadalada marqatiyasha anan islaheyn ay kala hadlayan xeer ilaalinta difaac adag lama imaanin meesha,0,0,0,0,0,0
,Waxkle aana sooqabeen,0,0,0,0,0,0
,Ninkan wa legend legend dhalay dhiiqadu iska ilaa linaya,0,0,0,0,0,0
,Insha allah,0,0,0,0,0,0
,MashaAllh wax kalena Ana so qabanayn IshaAllh ku soo caanbaxay,0,0,0,0,0,0
,Waxaan lahadlayaa legend walba oo taageera liverpool ama jecel ciyaaraha sxb ragu soo biir asxaabtu waa kuwo iscaawiya ee #follow isoo dheh,0,0,0,0,0,0
,Garsooraha . Indhahaaga iyo indhihiisa inay isku dhaceen yaa kuu sheege,0,0,0,0,0,0
,Shamuuri . Indhaheyga ii shegen,0,0,0,0,0,0
,Garsooraha :Waxaad ka marag Furee waxa Ay Idhahaaga Arkeen,0,0,0,0,0,0
,Shamuureey : Maasha'allaah,0,0,0,0,0,0
,Suhaip Omar,0,0,0,0,0,0
,Dadkaa makhraaati Laga dhigyyaaa,0,0,0,0,0,0
,Idaacad ma joogtid hada maxkamada jogtaaa insha alahh !!!,0,0,0,0,0,0
,Waaba Marqaanki oo marqaati ah,0,0,0,0,0,0
,Oo wax kale aan soo qabaneyn,0,0,0,0,0,0
,Umu Naadiya Adoontii Alah,0,0,0,0,0,0
,Wax kle ansoqawanen kulaha,0,0,0,0,0,0
,Nin rageed waye I aamin,0,0,0,0,0,0
,"Kan waa mucjiso kulahaa masha allah runtoo dhan aan sheegaa waa fadhiyay markii wax dhacayeen, anigoo taagan ayaan arkay ninka falka geystay, bisinka kan markhaati lama dhihi karee dadka yaan lagu dambaajin.",0,0,0,0,0,0
,Rasul wax makula ogo e anaga aya nalo so diray scw,0,0,0,0,0,0
,Shamuri wa lagend,0,0,0,0,0,0
,Waxkle an so qabaneyn waa qoslayyy wlh,0,0,0,0,0,0
,Mshalah,0,0,0,0,0,0
,Ashraa Adde insha allah,0,0,0,0,0,0
,kalzoonidu waa.Qaali,0,0,0,0,0,0
,"Shaqsiga qarax geestay hadii uu ku doodo kwrn, Ayaga ma qarxinin lkn babuurka ay sarnayeen ayaan qarxiyey, malaga yeeli donaa?",0,0,0,0,0,0
,"Arwaax Halooyeelo shamurey maxad ka Leedahay ""wax kalena aanan eo Qabaneyni """,0,0,0,0,0,0
,Aqirana waa jirtaa marki LA dhahy kulahaa masha Allah,0,0,0,0,0,0
,Gudoomiye: maxkamada joogtaa ogow,0,0,0,0,0,0
,Shamuuri: inshlh,0,0,0,0,0,0
,Gudoomiys: caaga maxaa ku jiray … See more,0,0,0,0,0,0
,Legend masha allah,0,0,0,0,0,0
,Wx kalne aan soqabanynn,0,0,0,0,0,0
,Maxkamad shalay dacwad ma ahayn qaraaxee ahayd,0,0,0,0,0,0
,Xaajii ilaah hana bad baadsho,0,0,0,0,0,0
,"grsoorka
gbdha gargar ma ufidisey",0,0,0,0,0,0
,"shamuuri
alaheyy ka alle",0,0,0,0,0,0
,Shamuureey difaac adag buu galay reer madina inta legend kaan taqaan waa salamay,0,0,0,0,0,0
,Manzha allah,0,0,0,0,0,0
,Inaad run sheegto lagaraba,0,0,0,0,0,0
,Inshalaah,0,0,0,0,0,0
,Aaqiraa jirto,0,0,0,0,0,0
,Aakhiro wa jirtaa mnsha alh,0,0,0,0,0,0
,Wlh meshaa diin in lagu dhaqmeynin aya ka cad qof marqaan ah side bu unoqday marqaati dinte u ogol inu marqaati noqdo xageyse ku qorantht qofka marqaati noqonaya sifoyin ayu leyahay halka waxa ka cad maxkamadda diin inaysan ku laheyn wax shaqo ah,0,0,0,0,0,0
,Garsooraha : idaacad maaha meshu wa maxkamad,0,0,0,0,0,0
,shamuuri: insha allah,0,0,0,0,0,0
